Person,1998,1999,2006,2008,2009,2010,2011,2012,2013,2014,2015,Total
Загнетов Владимир Николаевич,,,,,,,,,2 545 760,,,2 545 760
Залманов Александр Феликсович,,,,,,,,,2 981 529,,,2 981 529
Затиев Александр Михайлович,,,,,,,,,2 058 873,,,2 058 873
Затиев Ашот Михайлович,,,,,,,,,2 575 159,,,2 575 159
Зимина Елена Сергеевна,,,,,,,,,2 827 560,,,2 827 560
Зубов Михаил Васильевич,,,,,,,,,3 090 614,,,3 090 614
Иванов Михаил Андреевич,,,,,,,,,1 108 869,,,1 108 869
Карташов Юрий Васильевич,,,,,,,,,2 753 764,,,2 753 764
Кинаш Валерия Владимировна,,,,,,,,,2 097 294,,,2 097 294
Киржайкин Алексей Константинович,,,,,,,,,1 910 696,,,1 910 696
Киселев Александр Анатольевич,,,,,,,,,1 429 122,,,1 429 122
Князькин Андрей Викторович,,,,,,,,,2 275 597,,,2 275 597
Козик Виктор Дмитриевич,,,,,,,,,1 977 728,,,1 977 728
Королев Вячеслав Александрович,,,,,,,,,2 429 034,,,2 429 034
Коротов Юрий Викторович,,,,,,,,,3 008 553,,,3 008 553
Косенко Г.Г. ,,,,,,,,,2 866 843,,,2 866 843
Красавина Алевтина Анатольевна,,,,,,,,,1 074 536,,,1 074 536
Красоткин Юрий Евгеньевич,,,,,,,,,3 200 759,,,3 200 759
Куликова Нина Викторовна,,,,,,,,,2 151 390,,,2 151 390
Курякова Анастасия Игоревна,,,,,,,,,723 377,,,723 377
Макаров Сергей Васильевич,,,,,,,,,2 008 152,,,2 008 152
Макеев Владимир Иванович,,,,,,,,,2 187 682,,,2 187 682
Мерненко Мария Сергеевна,,,,,,,,,1 085 789,,,1 085 789
Милютин Вячеслав Геннадьевич,,,,,,,,,2 707 000,,,2 707 000
Мирмовсум Вагиф Мирмовсумович,,,,,,,,,3 297 527,,,3 297 527
Мирный Николай Владимирович,,,,,,,,,4 301 755,,,4 301 755
Митракова Ираида Валентиновна,,,,,,,,,3 921 339,,,3 921 339
Моисеева Елена Юрьевна,,,,,,,,,1 124 177,,,1 124 177
Мочалов Александр Владимирович,,,,,,,,,2 350 182,,,2 350 182
Мусатов Юрий Владимирович,,,,,,,,,1 159 610,,,1 159 610
Новикова Татьяна Сергеевна,,,,,,,,,10 818 485,,,10 818 485
Обенко Ирина Владимировна,,,,,,,,,2 616 504,,,2 616 504
Осипов Юрий Витальевич,,,,,,,,,1 703 163,,,1 703 163
Павлов Константин Николаевич,,,,,,,,,2 400 705,,,2 400 705
Пантеленко Александр Валерьевич,,,,,,,,,2 090 079,,,2 090 079
Пастухов Виктор Александрович,,,,,,,,,3 725 771,,,3 725 771
Петина Валентина Алексеевна,,,,,,,,,779 623,,,779 623
Петров Юрий Борисович,,,,,,,,,1 289 935,,,1 289 935
Платов Александр Петрович,,,,,,,,,5 684 781,,,5 684 781
Платонов Николай Сергеевич,,,,,,,,,1 405 971,,,1 405 971
Подлипаев Алексей Сергеевич,,,,,,,,,1 166 633,,,1 166 633
Полянцев Алексей Георгиевич,,,,,,,,,2 152 321,,,2 152 321
Попов Владимир Васильевич,,,,,,,,,1 184 629,,,1 184 629
Рожков Алексей Григорьевич,,,,,,,,,4 366 363,,,4 366 363
Романова Ирина Анатольевна,,,,,,,,,4 154 590,,,4 154 590
Рыжкова Татьяна Ивановна,,,,,,,,,2 928 480,,,2 928 480
Сандригайло Леонид Васильевич,,,,,,,,,1 552 498,,,1 552 498
Санец Нина Анатольевна,,,,,,,,,2 143 044,,,2 143 044
Сергеев Алексей Геннадьевич,,,,,,,,,3 014 828,,,3 014 828
Сидоренко Евгений Александрович,,,,,,,,,1 422 637,,,1 422 637
Силантьев Алексей Владимирович,,,,,,,,,891 699,,,891 699
Скопенцова Ирина Николаевна,,,,,,,,,1 897 443,,,1 897 443
Спицкий Дмитрий Геннадиевич,,,,,,,,,2 115 239,,,2 115 239
Степанов Александр Михайлович,,,,,,,,,9 802 566,,,9 802 566
Степин Геннадий Владимирович,,,,,,,,,2 467 180,,,2 467 180
Супилина Н.В. ,,,,,,,,,1 585 776,,,1 585 776
Сыроегина Юлия Александровна,,,,,,,,,998 749,,,998 749
Сюткина Ирина Николаевна,,,,,,,,,1 358 806,,,1 358 806
Тарасенко Сергей Александрович,,,,,,,,,1 634 215,,,1 634 215
Тарасьян Ирина Викторовна,,,,,,,,,1 440 159,,,1 440 159
Терешко А.А. ,,,,,,,,,3 075 065,,,3 075 065
Титарев Виктор Игнатьевич,,,,,,,,,1 787 686,,,1 787 686
Толстова О.Б. ,,,,,,,,,2 228 474,,,2 228 474
Фатеева Екатерина Александровна,,,,,,,,,1 449 573,,,1 449 573
Федотова Л.В. ,,,,,,,,,851 797,,,851 797
Федорова Г.А. ,,,,,,,,,2 926 248,,,2 926 248
Харченко Вячеслав Владимирович,,,,,,,,,2 715 893,,,2 715 893
Харченко Леонид Аркадьевич,,,,,,,,,1 849 993,,,1 849 993
Хилюта Иван Васильевич,,,,,,,,,2 113 677,,,2 113 677
Ходаковская Н.А. ,,,,,,,,,1 406 567,,,1 406 567
Хромов Михаил Николаевич,,,,,,,,,2 790 583,,,2 790 583
Черныш Юрий Николаевич,,,,,,,,,1 729 138,,,1 729 138
Черняк Виктор Валентинович,,,,,,,,,2 534 941,,,2 534 941
Чижов Дмитрий Анатольевич,,,,,,,,,3 400 400,,,3 400 400
Чуб Сергей Григорьевич,,,,,,,,,2 376 649,,,2 376 649
Шапошникова Юлия Николаевна,,,,,,,,,1 375 367,,,1 375 367
Шевчук Сергей Владимирович,,,,,,,,,18 117 287,,,18 117 287
Шишкин Сергей Афанасьевич,,,,,,,,,3 755 650,,,3 755 650
Шостик Владимир Борисович,,,,,,,,,2 783 326,,,2 783 326
Юрченко Сергей Васильевич,,,,,,,,,7 725 251,,,7 725 251
Яковенко Елена Николаевна,,,,,,,,,4 095 736,,,4 095 736
Шогуров Сергей Юрьевич,,,,,,,,,5 407 808,,,5 407 808
Зельдич Тимур Эдуардович,,,,,,,,,3 440 987,,,3 440 987
Кошевой Олег Иванович,,,,,,,,,2 878 432,,,2 878 432
Шамхалов Ферид Имирасланович,,,,,,,,,2 240 552,,,2 240 552
Горбунов Алексей Евгеньевич,,,,,,,,,1 806 023,,,1 806 023
Степанов Михаил Валерьевич,,,,,,,,,1 773 791,,,1 773 791
Белая Инна Ивановна,,,,,,,,,1 573 259,,,1 573 259
Богомазова Татьяна Александровна,,,,,,,,,1 978 421,,,1 978 421
Ионкин Алексей Иванович,,,,,,,,,1 580 487,,,1 580 487
Исаулова Елена Николаевна,,,,,,,,,1 229 119,,,1 229 119
Кадыров Рустам Шарифович,,,,,,,,,3 987 795,,,3 987 795
Клюев Дмитрий Константинович,,,,,,,,,737 175,,,737 175
Косырева Ирина Александровна,,,,,,,,,6 132 619,,,6 132 619
Краснов Александр Александрович,,,,,,,,,2 103 893,,,2 103 893
Кругликов Геннадий Анатольевич,,,,,,,,,908 111,,,908 111
Мартышкин Владимир Константинович,,,,,,,,,1 165 818,,,1 165 818
Нырова Анжелика Абузедовна,,,,,,,,,1 843 883,,,1 843 883
Панов Павел Николаевич,,,,,,,,,1 307 096,,,1 307 096
Попов Александр Николаевич,,,,,,,,,3 453 297,,,3 453 297
Соловьев Владислав Владимирович,,,,,,,,,1 178 332,,,1 178 332
Финогенов Владимир Владиславович,,,,,,,,,3 313 556,,,3 313 556
Блясов Сергей Михайлович,,,,,,,,,1 423 315,,,1 423 315
Богатырев Андрей Александрович,,,,,,,,,755 341,,,755 341
Богацкая Наталья Александровна,,,,,,,,,1 171 162,,,1 171 162
Бокарева Анна Алексеевна,,,,,,,,,1 164 695,,,1 164 695
Браматкин Леонид Петрович,,,,,,,,,4 759 642,,,4 759 642
Гавриляк Екатерина Владимировна,,,,,,,,,2 550 548,,,2 550 548
Гранников Максим Валерьевич,,,,,,,,,806 685,,,806 685
Иванов Виктор Петрович,,,,,,,,,2 082 318,,,2 082 318
Днепров Александр Владимирович,,,,,,,,,569 679,,,569 679
Зоря Евгений Витальевич,,,,,,,,,102 359,,,102 359
Иванова Ольга Николаевна,,,,,,,,,878 689,,,878 689
Краснова Вера Алексеевна,,,,,,,,,3 878 070,,,3 878 070
Маликова Виктория Владимировна,,,,,,,,,1 220 299,,,1 220 299
Микрюков Денис Владимирович,,,,,,,,,2 501 762,,,2 501 762
Сметанина Анна Николаевна,,,,,,,,,1 684 883,,,1 684 883
Табаков Сергей Алексеевич,,,,,,,,,1 633 903,,,1 633 903
Чернышов Вадим Георгиевич,,,,,,,,,1 130 638,,,1 130 638
Федулов Игорь Юрьевич,,,,,,,,,686 186,,,686 186
Филатов Сергей Николаевич,,,,,,,,,1 022 448,,,1 022 448
Астафьев Алексей Борисович,,,,,,,,,1 595 274,,,1 595 274
Дубровин Олег Геннадьевич,,,,,,,,,1 001 497,,,1 001 497
Елистратов Олег Игоревич,,,,,,,,,978 842,,,978 842
Калугин Николай Вениаминович,,,,,,,,,1 727 775,,,1 727 775
Киселев Филипп Михайлович,,,,,,,,,934 009,,,934 009
Напреенко Сергей Васильевич,,,,,,,,,2 241 751,,,2 241 751
Ракитин Дмитрий Олегович,,,,,,,,,1 019 810,,,1 019 810
Политико Валерий Яковлевич,,,,,,,,,1 428 049,,,1 428 049
Авдохин Валерий Петрович,,,,,,,,,1 345 847,,,1 345 847
Артюхов Андрей Сергеевич,,,,,,,,,476 509,,,476 509
Агаджанов Кирилл Игоревич,,,,,,,,,333 074,,,333 074
Алилуев Николай Владимирович,,,,,,,,,555 510,,,555 510
Бабушинов Василий Михайлович,,,,,,,,,959 714,,,959 714
Беган Александр Иванович,,,,,,,,,1 620 916,,,1 620 916
Беляев Сергей Борисович,,,,,,,,,1 412 317,,,1 412 317
Белозеров Александр Александрович,,,,,,,,,842 005,,,842 005
Бережков Дмитрий Владимирович,,,,,,,,,993 681,,,993 681
Богданов Юрий Андреевич,,,,,,,,,858 063,,,858 063
Богомаз Сергей Лукьянович,,,,,,,,,1 482 995,,,1 482 995
Бородин Роман Сергеевич,,,,,,,,,798 705,,,798 705
Бузенков Василий Владимирович,,,,,,,,,883 441,,,883 441
Быстров Сергей Иванович,,,,,,,,,1 363 499,,,1 363 499
Василюк Петр Александрович,,,,,,,,,823 598,,,823 598
Винокуров Юлиан Вячеславович,,,,,,,,,915 665,,,915 665
Вовк Сергей Федорович,,,,,,,,,1 285 273,,,1 285 273
Володин Олег Александрович,,,,,,,,,1 634 161,,,1 634 161
Вороненко Николай Сергеевич,,,,,,,,,1 895 138,,,1 895 138
Ганеев Валерий Фагимович,,,,,,,,,2 832 717,,,2 832 717
Гарнизонов Игорь Николаевич,,,,,,,,,872 869,,,872 869
Глушенков Юрий Иванович,,,,,,,,,1 298 980,,,1 298 980
Горшков Денис Сергеевич,,,,,,,,,1 787 134,,,1 787 134
Голиков Александр Александрович,,,,,,,,,1 410 596,,,1 410 596
Горлов Антон Андреевич,,,,,,,,,753 943,,,753 943
Гурков Алексей Николаевич,,,,,,,,,1 106 839,,,1 106 839
Дедов Игорь Анатольевич,,,,,,,,,849 534,,,849 534
Демченко Александр Владимирович,,,,,,,,,1 565 568,,,1 565 568
Духович Сергей Дмитриевич,,,,,,,,,1 622 346,,,1 622 346
Ефимов Виталий Павлович,,,,,,,,620 953,4 913 898,,,5 534 851
Елшин Евгений Борисович,,,,,,,,,186 702,,,186 702
Жирков Сергей Александрович,,,,,,,,,1 564 445,,,1 564 445
Золотов Михаил Алексеевич,,,,,,,,,1 033 363,,,1 033 363
Зубаков Дмитрий Альбертович,,,,,,,,,818 587,,,818 587
Зельчан Сергей Владимирович,,,,,,,,,1 240 932,,,1 240 932
Илюшко Владислав Сергеевич,,,,,,,,,779 963,,,779 963
Илюшкин Виктор Александрович,,,,,,,,,970 362,,,970 362
Игнатьев Леонид Михайлович,,,,,,,,,1 093 943,,,1 093 943
Изотов Владимир Сергеевич,,,,,,,,,830 997,,,830 997
Камышанский Александр Викторович,,,,,,,,,1 153 979,,,1 153 979
Кочетыгов Сергей Васильевич,,,,,,,,,1 754 424,,,1 754 424
Костюшина Надежда Геннадьевна,,,,,,,,,478 464,,,478 464
Крышкавец Максим Александрович,,,,,,,,,978 795,,,978 795
Контио Сергей Владимирович,,,,,,,,,265 761,,,265 761
Кубасов Евгений Владимирович,,,,,,,,,1 950 231,,,1 950 231
Кузнецов Александр Анатольевич,,,,,,,,,1 656 720,,,1 656 720
Ладонкин Роман Евгеньевич,,,,,,,,,3 284 545,,,3 284 545
Лунегов Вадим Константинович,,,,,,,,,1,,,1
Макаров Олег Александрович,,,,,,,,,437 746,,,437 746
Макаров Геннадий Владимирович,,,,,,,,,1 245 707,,,1 245 707
Маслов Артем Валерьевич,,,,,,,,,837 933,,,837 933
Марков Михаил Викторович,,,,,,,,,1 593 619,,,1 593 619
Мельков Павел Валерьевич,,,,,,,,,633 785,,,633 785
Миронов Олег Николаевич,,,,,,,,,817 160,,,817 160
Митягин Александр Федорович,,,,,,,,,1 314 290,,,1 314 290
Митягин Денис Александрович,,,,,,,,,145 478,,,145 478
Мороз Александр Петрович,,,,,,,,,807 047,,,807 047
Муравьев Сергей Сергеевич,,,,,,,,,339 763,,,339 763
Назарова Анна Валерьевна,,,,,,,,,1 057 690,,,1 057 690
Низовцев Сергей Александрович,,,,,,,,,1 494 814,,,1 494 814
Носков Александр Валентинович,,,,,,,,,1 502 639,,,1 502 639
Носков Евгений Александрович,,,,,,,,,813 362,,,813 362
Панасенко Виктор Николаевич,,,,,,,,,1 491 112,,,1 491 112
Пелевин Вячеслав Валентинович,,,,,,,,,1 640 877,,,1 640 877
Первушин Юрий Евгеньевич,,,,,,,,,1 235 170,,,1 235 170
Перегудов Сергей Александрович,,,,,,,,,1,,,1
Перевезенцев Михаил Юрьевич,,,,,,,,,1 665 694,,,1 665 694
Перцев Александр Валерьевич,,,,,,,,,915 628,,,915 628
Подагов Максим Игоревич,,,,,,,,,1 200 921,,,1 200 921
Поляков Евгений Дмитриевич,,,,,,,,,1 644 493,,,1 644 493
Прасол Константин Сергеевич,,,,,,,,,80 805,,,80 805
Ратников Алексей Юрьевич,,,,,,,,,1 622 677,,,1 622 677
Сидоров Павел Арнольдович,,,,,,,,,1 174 327,,,1 174 327
Скорик Виктор Викторович,,,,,,,,,927 000,,,927 000
Субхангулов Равиль Александрович,,,,,,,,,4 080 400,,,4 080 400
Орнацкий Евгений Анатольевич,,,,,,,,,876 921,,,876 921
Осипов Михаил Юрьевич,,,,,,,,,824 975,,,824 975
Петров Никита Владимирович,,,,,,,,,1 011 591,,,1 011 591
Полянский Александр Валерьевич,,,,,,,,,810 321,,,810 321
Пурескин Владимир Геннадиевич,,,,,,,,,860 381,,,860 381
Пахомов Владимир Владимирович,,,,,,,,,2 377 369,,,2 377 369
Потехин Александр Павлович,,,,,,,,,953 462,,,953 462
Пономаренко Алексей Сергеевич,,,,,,,,,1 131 684,,,1 131 684
Пузаков Владимир Алексеевич,,,,,,,,,2 201 702,,,2 201 702
Сараев Олег Владимирович,,,,,,,,,1 095 494,,,1 095 494
Сидоренко Евгений Михайлович,,,,,,,,,1,,,1
Сорокин Михаил Викторович,,,,,,,,,778 445,,,778 445
Степанов Сергей Владимирович,,,,,,,,,1 294 505,,,1 294 505
Степутенков Виктор Алексеевич,,,,,,,,,914 167,,,914 167
Столяров Руслан Николаевич,,,,,,,,,1 703 579,,,1 703 579
Строганов Сергей Михайлович,,,,,,,,,989 159,,,989 159
Суравекин Сергей Александрович,,,,,,,,,668 030,,,668 030
Талалуев Андрей Иванович,,,,,,,,,1 124 902,,,1 124 902
Трыканов Андрей Андреевич,,,,,,,,,809 977,,,809 977
Тыниссалу Юрий Арнольдович,,,,,,,,,873 843,,,873 843
Тимофеев Павел Алексеевич,,,,,,,,,745 644,,,745 644
Усс Александр Сергеевич,,,,,,,,,1 498 541,,,1 498 541
Федорова Екатерина Геннадьевна,,,,,,,,,827 377,,,827 377
Фокин Александр Сергеевич,,,,,,,,,5 667 570,,,5 667 570
Хохленков Алексей Евгеньевич,,,,,,,,,1 887 726,,,1 887 726
Цицилин Константин Геннадьевич,,,,,,,,,1 015 477,,,1 015 477
Чадаев Олег Владимирович,,,,,,,,,1 636 871,,,1 636 871
Чембаров Виталий Витальевич,,,,,,,,,1 015 298,,,1 015 298
Шачнев Анатолий Владимирович,,,,,,,,,878 817,,,878 817
Шипоцкий Андрей Станиславович,,,,,,,,,1 176 649,,,1 176 649
Шкаликов Григорий Владимирович,,,,,,,,,812 538,,,812 538
Юлиш Алексей Григорьевич,,,,,,,,,1 852 783,,,1 852 783
Шибаев Максим Валерьевич,,,,,,,,,1 579 805,,,1 579 805
Шеремет Нателла Ингоровна,,,,,,,,,876 404,,,876 404
Ширинкин Александр Николаевич,,,,,,,,,1 334 576,,,1 334 576
Ширинкин Сергей Александрович,,,,,,,,,743 925,,,743 925
Ясиненко Валерий Николаевич,,,,,,,,,945 366,,,945 366
Алексеев Сергей Маркианович,,,,,,,,,3 353 162,,,3 353 162
Литвинов Сергей Иванович,,,,,,,,,3 285 126,,,3 285 126
Марьян Василий Степанович,,,,,,,,,4 010 228,,,4 010 228
Святенко Кирилл Витальевич,,,,,,,,,8 466 342,,,8 466 342
Суворов Павел Владимирович,,,,,,,,,3 344 479,,,3 344 479
Щербо Елена Цезиковна,,,,,,,,,9 199 407,,,9 199 407
Сидорова-Бирюкова Наталья Александровна,,,,,,,,,1 459 768,,,1 459 768
Тихонов Михаил Юрьевич,,,,,,,,,3 299 193,,,3 299 193
Васильева Татьяна Викторовна,,,,,,,,,3 888 295,,,3 888 295
Гаврилов Александр Владимирович,,,,,,,,,2 359 410,,,2 359 410
Павлов Игорь Сергеевич,,,,,,,,,3 779 752,,,3 779 752
Юренко Николай Александрович,,,,,,,,,3 661 896,,,3 661 896
Яковлев Олег Иванович,,,,,,,,,5 409 902,,,5 409 902
Александров Алексей Евгеньевич,,,,,,,,,2 614 258,,,2 614 258
Анисин Алексей Александрович,,,,,,,,,3 232 411,,,3 232 411
Банчукова Татьяна Алексеевна,,,,,,,,,5 134 035,,,5 134 035
Баринова Татьяна Юрьевна,,,,,,,,,2 714 899,,,2 714 899
Кузьмин Павел Владимирович,,,,,,,,,5 938 497,,,5 938 497
Олтаржевская Любовь Евгеньевна,,,,,,,,,3 101 089,,,3 101 089
Случ Михаил Ильич,,,,,,,,,3 890 986,,,3 890 986
Олейников Юрий Павлович,,,,,,,,,,27 042 192,17 686 054,44 728 246
Буцаев Денис Петрович,,,,,,,,,,4 291 795,4 834 627,9 126 421
Виртуозова Наталья Сергеевна,,,,,,,,,,5 042 846,4 748 063,9 790 909
Елянюшкин Герман Вячеславович,,,,,,,,,,40 435 800,34 660 753,75 096 554
Забралова Ольга Сергеевна,,,,,,,,,,12 862 905,12 877 790,25 740 695
Иванов Петр Валерьевич,,,,,,,,,,4 754 866,,4 754 866
Кузнецов Михаил Михайлович,,,,,,,,,,5 340 883,4 797 223,10 138 106
Пестов Дмитрий Владимирович,,,,,,,,,,12 536 810,14 986 808,27 523 617
Хаймурзина Эльмира Абдулбариевна,,,,,,,,,,3 858 760,4 741 160,8 599 920
Чупраков Александр Анатольевич,,,,,,,,,,16 359 824,41 030 059,57 389 883
Алексеев Евгений Георгиевич,,,,,,,,,,5 655 465,5 918 752,11 574 217
Антонова Лидия Николаевна,,,,,,,,,,10 948 610,12 848 121,23 796 731
Ахметзянов Ильдус Талгатович,,,,,,,,,,4 129 504,5 085 642,9 215 146
Белоконь Оксана Михайловна,,,,,,,,,,2 357 642,4 812 280,7 169 922
Бибикова Елена Васильевна,,,,,,,,,,3 854 770,5 948 698,9 803 468
Болтенко Надежда Николаевна,,,,,,,,,,9 193 010,11 015 580,20 208 590
Савельев Олег Генрихович,,,,,,,,,,8 473 407,,8 473 407
Меликов Сергей Алимович,,,,,,,,,,6 548 998,33 813 646,40 362 644
Рогожкин Николай Евгеньевич,,,,,,,,,,9 059 920,13 479 506,22 539 426
Голублев Александр Михайлович,,,,,,,,,,14 370 861,9 341 068,23 711 929
Биленкина Инна Петровна,,,,,,5 729 386,9 462 355,,,12 426 585,12 361 258,39 979 584
Вепринцева Юлия Владимировна,,,,,,,,,,2 206 003,5 822 823,8 028 826
Гехт Ирина Альфредовна,,,,,,,,,,5 872 269,4 722 000,10 594 269
Гумерова Лилия Салаватовна,,,,,,,,,,3 751 189,5 436 150,9 187 340
Жилин Валерий Васильевич,,,,,,,,,,3 870 201,,3 870 201
Ковитиди Ольга Федоровна,,,,,,,,,,3 723 076,4 687 000,8 410 076
Круглый Владимир Игоревич,,,,,,,,,,3 627 355,6 088 261,9 715 616
Кулабухов Иван Николаевич,,,,,,,,,,4 300 170,5 857 177,10 157 346
Кушнарь Юрий Васильевич,,,,,,,,,,8 650 449,11 102 405,19 752 854
Лебедева Татьяна Романовна,,,,,,,,,,4 203 017,7 277 448,11 480 465
Мартынов Игорь Александрович,,,,,,,,,,5 585 042,5 833 594,11 418 636
Ооржак Мерген Дадар-Оолович,,,,,,,,,,2 788 835,4 687 022,7 475 857
Лощинин Александр Михайлович,,,,,,,,,1 809 620,1 889 506,,3 699 126
Сапожников Александр Яковлевич,,,,,,,,1 675 382,19 362 360,3 586 178,,24 623 921
Цатуров Владислав Владимирович,,,,,,,,,3 321 876,,,3 321 876
Тихомиров Анатолий Николаевич,,,,,,,,,33 336 951,2 712 682,,36 049 633
Аведов Валерий Георгиевич,,,,,,,,,2 020 194,13 844 368,,15 864 562
Ведышев Роберт Васильевич,,,,,,,,,1 855 428,,,1 855 428
Заец Владимир Витальевич,,,,,,,,,31 904 520,,,31 904 520
Шабелько Игорь Иванович,,,,,,,,,4 583 282,,,4 583 282
Ветрова Ирина Викторовна,,,,,,,,3 676 989,4 974 183,21 672 940,5 123 079,35 447 191
Чергин Алексей Владимирович,,,,,,,,,1 691 191,1 424 198,,3 115 389
Сальчук Геннадий Владимирович,,,,,,,,,1 529 713,1 550 431,,3 080 144
Баринов Александр Валерианович,,,,,,,,,2 066 966,2 563 692,,4 630 658
Нижник Марина Юрьевна,,,,,,,,,2 597 056,2 508 191,,5 105 247
Клочек Владимир Леонидович,,,,,,,,,747 663,,,747 663
Петров Юрий Юрьевич,,,,,,,,,2 121 848,,,2 121 848
Петров Алексей Витальевич,,,,,,,,,1 449 795,,,1 449 795
Николаев Валерий Юрьевич,,,,,,,,,1 741 390,1 612 368,,3 353 758
Передерин Игорь Юрьевич,,,,,,,,,2 307 252,,,2 307 252
Шкерин Виктор Александрович,,,,,,,,,1 943 834,,,1 943 834
Потапенко Игорь Васильевич,,,,,,,,,1 942 350,1 782 397,1 845 898,5 570 645
Матковский Игорь Анатольевич,,,,,,,,,2 947 951,2 647 453,,5 595 405
Мирошников Евгений Сергеевич,,,,,,,,,1 080 897,,,1 080 897
Науменко Сергей Николаевич,,,,,,,,,1 691 191,1 559 215,,3 250 406
Телятников Сергей Вениаминович,,,,,,,,,5 849 454,,,5 849 454
Наземчук Виктор Юрьевич,,,,,,,,,2 273 045,,,2 273 045
Петросян Михаил Артемович,,,,,,,,,1 810 725,,,1 810 725
Стряпухин Алексей Геннадьевич,,,,,,,,,2 642 672,,,2 642 672
Моисеенко Сергей Сергеевич,,,,,,,,,2 819 920,,,2 819 920
Рудковский Евгений Николаевич,,,,,,,,,1 744 905,,,1 744 905
Гнедов Евгений Валерьевич,,,,,,1 156 189,1 439 554,2 088 881,24 687 428,6 312 116,3 524 665,39 208 833
Борзов Дмитрий Валерьевич,,,,,,,,,1 439 502,,,1 439 502
Венедиктов Владимир Владимирович,,,,,,,,,1 210 322,,,1 210 322
Комнов Дмитрий Викторович,,,,,,,,,1 427 056,,,1 427 056
Кемпель Игорь Витальевич,,,,,,,,,1 521 394,,,1 521 394
Кемпель Игорь Витальевич,,,,,,,,,1 521 394,,,1 521 394
Каданов Александр Владимирович,,,,,,,,,2 463 142,,,2 463 142
Завалин Дмитрий Германович,,,,,,,,,1 303 886,,,1 303 886
Люкманов Рашид Османович,,,,,,,,,1 644 339,,,1 644 339
Панасенко Олег Борисович,,,,,,,,,1 546 156,,,1 546 156
Кунова Т. В.,,,,,,,,,998 353,,,998 353
Лещев Виктор Иванович,,,,,,,,,1 361 145,2 518 432,,3 879 578
Шамран А Н,,,,,,,,,1 533 521,,,1 533 521
Хорев Алексей Александрович,,,,,,,,,2 235 827,,,2 235 827
Хорев Алексей Александрович,,,,,,,,,2 235 827,,,2 235 827
Волгин Олег Анатольевич,,,,,,,,,1 956 019,,,1 956 019
Горбачев А.В. ,,,,,,,,,811 047,,,811 047
Сорока Юрий Григорьевич,,,,,,,,,1 429 823,,,1 429 823
Поликарпов Андрей Юрьевич,,,,,,,,,1 245 158,,,1 245 158
Аверьянова Марина Николаевна,,,,,,,,,790 588,,,790 588
Утимишев Имиз Кязымович,,,,,,,,,1 115 322,,,1 115 322
Ветров Александр Сергеевич,,,,,,,,,2 401 267,2 462 041,,4 863 308
Хамазин Андрей Борисович,,,,,,,,,4 019 830,,,4 019 830
Добров Евгений Александрович,,,,,,,,,1 836 949,,,1 836 949
Анисимов Сергей Александрович,,,,,,,,,1 466 116,,,1 466 116
Ким Евгений Радионович,,,,,,,,,1 629 244,,,1 629 244
Полькин Александр Владимирович,,,,,,,,,2 072 894,,,2 072 894
Матвеева Светлана Владимировна,,,,,,,,,1 692 563,,,1 692 563
Гулик Виктор Владимирович,,,,,,,,,1 854 506,,,1 854 506
Дмитриев Алексей Станиславович,,,,,,,,,1 814 233,,,1 814 233
Кириллова Татьяна Владимировна,,,,,,,,,4 116 194,,,4 116 194
Скопинцев Николай Анатольевич,,,,,,,1 616 310,1 809 426,2 678 556,2 884 625,17 339 671,26 328 588
Юдаев Сергей Викторович,,,,,,,,,1 633 498,,,1 633 498
Обухов Алексей Вячеславович,,,,,,,,,1 864 153,,,1 864 153
Новиков Александр Александрович,,,,,,,,,1 206 765,,,1 206 765
Баринов Юрий Михайлович,,,,,,,,,2 121 539,2 801 070,,4 922 609
Мишина Т.С. ,,,,,,,,,1 514 032,,,1 514 032
Киршинов Д. Г.,,,,,,,,,1 066 461,,,1 066 461
Кошелев Петр Александрович,,,,,,,,,1 316 713,,,1 316 713
Лукьянец Евгений Васильевич,,,,,,,,,2 946 660,3 060 077,,6 006 737
Крутских О. В.,,,,,,,,,1 440 776,,,1 440 776
Машкин Владимир Александрович,,,,,,,,,2 892 187,,,2 892 187
Сосихин Сергей Александрович,,,,,,,,,2 769 550,,,2 769 550
Щипанов Сергей Николаевич,,,,,,,,,1 097 718,,,1 097 718
Ясько Виктор Николаевич,,,,,,,,,1 377 829,,,1 377 829
Езиков Сергей Александрович,,,,,,,,,1 578 976,,,1 578 976
Копылов Ю. А.,,,,,,,,,929 302,,,929 302
Галкин Виталий Владимирович,,,,,,,,,1 143 348,,,1 143 348
Ковалев Андрей Владимирович,,,,,,,,,2 121 633,,,2 121 633
Омельченко Юрий Андреевич,,,,,,,,,4 109 691,4 124 729,,8 234 420
Пузь Андрей Александрович,,,,,,,,,1 638 916,,,1 638 916
Ткаченко А. Г.,,,,,,,,,1 184 546,,,1 184 546
Ломакин Александр Иванович,,,,,,,,,1 512 389,,,1 512 389
Оникиенко Андрей Викторович,,,,,,,,,2 632 610,,,2 632 610
Швецова Н. И.,,,,,,,,,1 557 899,,,1 557 899
Федоров Василий Валерьянович,,,,,,,,,3 664 346,2 993 950,,6 658 296
Красиков Сергей Анатольевич,,,,,,,,,2 048 542,,,2 048 542
Зыбарев О. В.,,,,,,,,,1 127 213,,,1 127 213
Лавреньев Д. Е.,,,,,,,,,922 311,,,922 311
Мирошкин Е. А.,,,,,,,,,1 772 173,,,1 772 173
