Person,1998,1999,2006,2008,2009,2010,2011,2012,2013,2014,2015,Total
Сапожников Николай Иванович,,,1 229 829,,,4 083 669,2 286 901,2 348 852,3 808 216,4 320 267,5 214 930,23 292 665
Смолин Олег Николаевич,,,1 952 422,,,6 450 380,3 644 844,4 379 094,5 086 995,5 902 084,7 054 176,34 469 995
Собко Сергей Васильевич,,,2 143 864,,,25 891 987,37 507 099,2 941 724,38 793 133,40 607 409,22 220 752,170 105 969
Сокол Святослав Михайлович,,,222 411,,,4 256 467,2 192 455,2 290 250,2 808 993,4 243 841,5 148 730,21 163 147
Соловьев Вадим Георгиевич,,,583 350,,,4 161 154,2 143 701,2 342 101,2 778 735,4 184 388,5 058 060,21 251 489
Стародубцев Василий Александрович,,,701 686,,,5 612 559,,,,,,6 314 245
Федоткин Владимир Николаевич,,,1 158 544,,,4 198 223,2 143 757,2 217 659,2 716 859,4 153 951,5 346 154,21 935 146
Харитонов Николай Михайлович,,,1 207 264,,,4 521 825,2 210 072,2 931 352,2 836 026,4 294 514,5 321 674,23 322 726
Чикин Валентин Васильевич,,,1 245 737,,,4 287 423,2 170 898,2 370 822,2 796 753,4 247 604,5 110 127,22 229 364
Ширшов Константин Владимирович,,,853 830,,,4 306 256,3 090 961,2 135 511,2 992 016,4 437 132,,17 815 706
Штогрин Сергей Иванович,,,1 264 537,,,4 340 476,2 396 753,2 357 874,6 130 230,9 551 648,8 471 898,34 513 416
Шурчанов Валентин Сергеевич,,,843 008,,,4 513 301,2 475 359,2 565 900,3 132 321,4 561 054,5 441 133,23 532 076
Грачев Иван Дмитриевич,124 354,,1 019 501,,4 328 313,6 608 704,4 900 745,4 704 601,6 922 560,9 358 086,11 918 766,49 885 631
Грешневиков Анатолий Николаевич,,,1 234 304,,2 309 457,4 678 716,2 521 798,2 524 795,3 722 387,4 769 902,5 716 726,27 478 085
Дмитриева Оксана Генриховна,,,2 115 761,,4 328 313,6 685 473,4 440 200,4 900 745,6 922 560,9 358 086,11 918 766,50 669 905
Драпеко Елена Григорьевна,,,1 266 745,,2 503 417,4 569 658,2 606 833,2 395 152,5 871 129,4 393 866,5 150 733,28 757 533
Емельянов Михаил Васильевич,,,1 207 264,,6 617 095,14 210 017,18 470 605,12 453 611,14 224 409,14 155 383,26 767 189,108 105 573
Зубов Валерий Михайлович,,,1 250 270,,2 591 940,4 808 234,2 505 818,3 441 978,3 447 788,4 931 352,5 600 303,28 577 683
Кузьмина Алла Владимировна,,,377 052,,2 326 860,4 099 680,5 522 238,5 576 169,41 283 115,5 936 645,8 417 039,73 538 798
Левичев Николай Владимирович,,,354 810,,3 880 826,6 154 518,3 228 462,8 170 087,4 178 765,6 623 364,6 485 129,39 075 961
Лекарева Вера Александровна,,,915 948,,2 161 395,4 303 213,,,,,,7 380 556
Ломакин-Румянцев Александр Вадимович,,,488 914,,7 157 677,4 386 631,2 370 368,2 375 331,3 035 735,4 563 945,5 638 970,30 017 571
Мизулина Елена Борисовна,,,1 255 747,,,8 488 209,4 033 671,4 594 828,4 796 327,9 042 539,8 359 300,40 570 622
Миронов Сергей Михайлович,,,1 515 223,,2 466 942,14 675 151,2 659 182,1 994 794,2 465 803,3 970 353,4 975 563,34 723 012
Михеев Олег Леонидович,,,3 583 592,,,248 624 350,2 097 974,2 119 184,3 082 223,3 925 741,4 806 702,268 239 766
Музыкаев Аднан Абдулаевич,,,1 380 255,,,4 466 340,2 846 724,2 838 068,4 030 112,5 281 622,5 236 493,26 079 613
Петров Сергей Анатольевич,,,507 154 481,,,92 629 879,1 743 518 894,649 000 984,200 788 852,35 780 591,262 002 636,3 490 876 317
Пономарев Илья Владимирович,,,313 544,,,4 344 680,9 858 415,11 115 979,2 597 235,4 190 888,12 269 960,44 690 702
Терентьев Александр Васильевич,,,2 020 880,,,40 011 455,15 613 021,11 529 268,35 239 082,16 265 350,53 102 351,173 781 406
Тумусов Федот Семенович,,,971 994,,,4 590 013,2 856 589,6 298 809,2 905 908,4 576 283,5 470 285,27 669 881
Хованская Галина Петровна,,,1 278 369,,,5 198 270,2 788 614,2 786 879,3 751 037,4 878 961,5 719 546,26 401 676
Волчек Денис Геннадьевич,,,1 022 838,,1 958 596,3 923 680,7 891 562,1 995 092,2 476 795,3 982 888,4 735 560,27 987 011
Жириновский Владимир Вольфович,0,10 457 224,19 921 670,,11 559 205,52 867 881,74 110 191,5 122 953,3 428 471,4 782 382,5 306 537,187 556 514
Журко Василий Васильевич,,,213 578,,2 189 996,4 309 614,2 328 976,2 592 231,3 689 716,5 037 352,5 380 533,25 741 996
Иванов Сергей Владимирович,,,1 207 457,,2 850 945,2 592 364,2 696 895,3 375 130,3 172 081,4 487 344,5 542 310,25 924 525
Коган  Юрий Владимирович,,,1 207 264,,2 027 541,4 082 179,,,,,,7 316 984
Лебедев  Андрей Ярославович,,,604 000,,2 067 048,3 983 897,,,,3 724 400,2 419 401,12 798 746
Лебедев Игорь Владимирович,,,3 111 430,,178 761 319,9 553 349,12 095 003,2 441 675,3 189 569,4 668 648,16 537 154,230 358 146
Луговой Андрей Константинович,,,3 420 000,,5 942 596,3 923 680,103 167 942,2 949 939,9 991 823,34 889 148,12 258 965,176 544 093
Маркин Эдуард Витальевич,,,7 521 880,,,143 786 897,10 918 029,9 111 961,3 132 552,199 297 059,40 236 538,414 004 916
Мусатов Михаил Иванович,,,11 618 264,,,27 682 131,,,,,,39 300 395
Напсо Юрий Аисович,,,12 870,,,4 455 680,3 090 395,3 737 828,8 248 666,10 842 915,16 293 909,46 682 264
Нилов Ярослав Евгеньевич,,,683 224,,,2 336 253,2 870 138,2 460 175,3 020 991,4 608 620,5 780 167,21 759 567
